Organism	BioProject	Run	Tissue	Treatment	Isolate	AGE	SRA Study	Sample Name	Bases	Bytes	AvgSpotLen	BioSample	Experiment	ReleaseDate	create_date	Library Name	dev_stage	Cultivar					name
Brassica rapa	PRJNA593493	SRR10685304	Leaf	-	not applicable	11d	SRP237446	R18L2_3	8703177600	3248733049	300	SAMN13477732	SRX7362293	2020-12-18T00:00:00Z	2019-12-13T18:13:00Z	R18L2_3	first true leaf visible	R-o-18					Leaf_11days
Brassica rapa	PRJNA593493	SRR10685305	Leaf	-	not applicable	11d	SRP237446	R18L2_2	10309520700	3947103382	300	SAMN13477731	SRX7362292	2020-12-18T00:00:00Z	2019-12-13T18:16:00Z	R18L2_2	first true leaf visible	R-o-18					Leaf_11days
Brassica rapa	PRJNA593493	SRR10685306	Leaf	-	not applicable	11d	SRP237446	R18L2_1	8445912900	3220519209	300	SAMN13477730	SRX7362291	2020-12-18T00:00:00Z	2019-12-13T18:15:00Z	R18L2_1	first true leaf visible	R-o-18					Leaf_11days
Brassica rapa	PRJNA593493	SRR10685307	Seedling	-	not applicable	7d	SRP237446	R18L1_3	9962319900	3702363701	300	SAMN13477729	SRX7362290	2020-12-18T00:00:00Z	2019-12-13T18:17:00Z	R18L1_3	seedling	R-o-18					Seedling_7days
Brassica rapa	PRJNA593493	SRR10685308	Seedling	-	not applicable	7d	SRP237446	R18L1_2	7529574000	2837536836	300	SAMN13477728	SRX7362289	2020-12-18T00:00:00Z	2019-12-13T18:27:00Z	R18L1_2	seedling	R-o-18					Seedling_7days
Brassica rapa	PRJNA593493	SRR10685309	Apex	-	not applicable	13d	SRP237446	R18A2_2	8323676100	3258616868	300	SAMN13477692	SRX7362288	2020-12-18T00:00:00Z	2019-12-13T18:34:00Z	R18A2_2	second true leaf expanding	R-o-18					Apex_13days
Brassica rapa	PRJNA593493	SRR10685310	Seedling	-	not applicable	7d	SRP237446	R18L1_1	9938349000	3642137564	300	SAMN13477727	SRX7362287	2020-12-18T00:00:00Z	2019-12-13T18:19:00Z	R18L1_1	seedling	R-o-18					Seedling_7days
Brassica rapa	PRJNA593493	SRR10685311	Apex	-	not applicable	35d	SRP237446	R18A13_3	8043080100	3086130922	300	SAMN13477726	SRX7362286	2020-12-18T00:00:00Z	2019-12-13T18:32:00Z	R18A13_3	"8th true leaf visible\, at BBCH51"	R-o-18					Apex_35days
Brassica rapa	PRJNA593493	SRR10685312	Apex	-	not applicable	35d	SRP237446	R18A13_2	8638695600	3293561952	300	SAMN13477725	SRX7362285	2020-12-18T00:00:00Z	2019-12-13T18:17:00Z	R18A13_2	"8th true leaf visible\, at BBCH51"	R-o-18					Apex_35days
Brassica rapa	PRJNA593493	SRR10685313	Apex	-	not applicable	35d	SRP237446	R18A13_1	9525415800	3821381693	300	SAMN13477724	SRX7362284	2020-12-18T00:00:00Z	2019-12-13T22:46:00Z	R18A13_1	"8th true leaf visible\, at BBCH51"	R-o-18					Apex_35days
Brassica rapa	PRJNA593493	SRR10685314	Apex	-	not applicable	33d	SRP237446	R18A12_3	8488677900	3300066566	300	SAMN13477723	SRX7362283	2020-12-18T00:00:00Z	2019-12-13T22:24:00Z	R18A12_3	8th true leaf visible	R-o-18					Apex_33days
Brassica rapa	PRJNA593493	SRR10685315	Apex	-	not applicable	33d	SRP237446	R18A12_2	8142310800	2977360600	300	SAMN13477722	SRX7362282	2020-12-18T00:00:00Z	2019-12-13T22:23:00Z	R18A12_2	8th true leaf visible	R-o-18					Apex_33days
Brassica rapa	PRJNA593493	SRR10685316	Apex	-	not applicable	33d	SRP237446	R18A12_1	9252477900	3580833619	300	SAMN13477721	SRX7362281	2020-12-18T00:00:00Z	2019-12-13T22:26:00Z	R18A12_1	8th true leaf visible	R-o-18					Apex_33days
Brassica rapa	PRJNA593493	SRR10685317	Apex	-	not applicable	31d	SRP237446	R18A11_3	8326098300	3237183605	300	SAMN13477720	SRX7362280	2020-12-18T00:00:00Z	2019-12-13T22:31:00Z	R18A11_3	8th true leaf visible	R-o-18					Apex_31days
Brassica rapa	PRJNA593493	SRR10685318	Apex	-	not applicable	31d	SRP237446	R18A11_2	7832781900	3138547951	300	SAMN13477719	SRX7362279	2020-12-18T00:00:00Z	2019-12-13T22:39:00Z	R18A11_2	8th true leaf visible	R-o-18					Apex_31days
Brassica rapa	PRJNA593493	SRR10685319	Apex	-	not applicable	31d	SRP237446	R18A11_1	8362085100	3189374465	300	SAMN13477718	SRX7362278	2020-12-18T00:00:00Z	2019-12-13T22:40:00Z	R18A11_1	8th true leaf visible	R-o-18					Apex_31days
Brassica rapa	PRJNA593493	SRR10685320	Apex	-	not applicable	13d	SRP237446	R18A2_1	8635562100	3287530909	300	SAMN13477691	SRX7362277	2020-12-18T00:00:00Z	2019-12-13T22:31:00Z	R18A2_1	second true leaf expanding	R-o-18					Apex_13days
Brassica rapa	PRJNA593493	SRR10685321	Apex	-	not applicable	29d	SRP237446	R18A10_3	7750953900	3009798034	300	SAMN13477717	SRX7362276	2020-12-18T00:00:00Z	2019-12-13T22:31:00Z	R18A10_3	8th true leaf visible	R-o-18					Apex_29days
Brassica rapa	PRJNA593493	SRR10685322	Apex	-	not applicable	29d	SRP237446	R18A10_2	7455890100	3002825464	300	SAMN13477716	SRX7362275	2020-12-18T00:00:00Z	2019-12-13T22:24:00Z	R18A10_2	8th true leaf visible	R-o-18					Apex_29days
Brassica rapa	PRJNA593493	SRR10685323	Apex	-	not applicable	29d	SRP237446	R18A10_1	7352613600	2807308637	300	SAMN13477715	SRX7362274	2020-12-18T00:00:00Z	2019-12-13T22:40:00Z	R18A10_1	8th true leaf visible	R-o-18					Apex_29days
